school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,nursery,higher_x,internet,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,G3_y,at_risk_math,at_risk_port,at_risk_total,total_absences,total_failures,mean_parent_edu,avg_study_time,family_support,avg_alcohol_consumption,internet_access,urban_rural,school_support
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6.0,5,6,6,mother,2,2,0,yes,no,no,no,yes,no,4,3,4,1,1,3,4,0,11,11,1,0,At Risk (Math Only),10.0,0,4.0,2.0,0,1.0,0,1,1
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4.0,5,5,6,father,1,2,0,no,yes,no,no,yes,no,5,3,3,1,1,3,2,9,11,11,1,0,At Risk (Math Only),6.0,0,1.0,2.0,1,1.0,1,1,0
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10.0,7,8,10,mother,1,2,0,yes,no,no,no,yes,no,4,3,2,2,3,3,6,12,13,12,0,0,Not At Risk,16.0,3,1.0,2.0,0,2.0,1,1,1
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2.0,15,14,15,mother,1,3,0,no,yes,no,yes,yes,yes,3,2,2,1,1,5,0,14,14,14,0,0,Not At Risk,2.0,0,3.0,3.0,1,1.0,1,1,0
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4.0,6,10,10,father,1,2,0,no,yes,no,no,yes,no,4,3,2,1,2,5,0,11,13,13,0,0,Not At Risk,4.0,0,3.0,2.0,1,1.0,0,1,0
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10.0,15,15,15,mother,1,2,0,no,yes,no,yes,yes,no,5,4,2,1,2,5,6,12,12,13,0,0,Not At Risk,16.0,0,3.5,2.0,1,1.0,1,1,0
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0.0,12,12,11,mother,1,2,0,no,no,no,no,yes,no,4,4,4,1,1,3,0,13,12,13,0,0,Not At Risk,0.0,0,2.0,2.0,0,1.0,1,1,0
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6.0,6,5,6,mother,2,2,0,yes,yes,no,no,yes,no,4,1,4,1,1,1,2,10,13,13,1,0,At Risk (Math Only),8.0,0,4.0,2.0,1,1.0,0,1,1
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0.0,16,18,19,mother,1,2,0,no,yes,no,no,yes,no,4,2,2,1,1,1,0,15,16,17,0,0,Not At Risk,0.0,0,2.5,2.0,1,1.0,1,1,0
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0.0,14,15,15,mother,1,2,0,no,yes,no,yes,yes,no,5,5,1,1,1,5,0,12,12,13,0,0,Not At Risk,0.0,0,3.5,2.0,1,1.0,1,1,0
GP,F,15,U,GT3,T,4,4,teacher,Other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0.0,10,8,9,mother,1,2,0,no,yes,no,no,yes,no,3,3,3,1,2,2,2,14,14,14,1,0,At Risk (Math Only),2.0,0,4.0,2.0,1,1.0,1,1,0
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4.0,10,12,12,father,3,3,0,no,yes,no,yes,yes,no,5,2,2,1,1,4,0,10,12,13,0,0,Not At Risk,4.0,0,1.5,3.0,1,1.0,1,1,0
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2.0,14,14,14,father,1,1,0,no,yes,no,yes,yes,no,4,3,3,1,3,5,0,12,13,12,0,0,Not At Risk,2.0,0,4.0,1.0,1,1.0,1,1,0
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2.0,10,10,11,mother,2,2,0,no,yes,no,no,yes,no,5,4,3,1,2,3,0,12,12,13,0,0,Not At Risk,2.0,0,3.5,2.0,1,1.0,1,1,0
GP,M,15,U,GT3,A,2,2,other,other,home,Other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0.0,14,16,16,Other,1,3,0,no,yes,no,no,yes,yes,4,5,2,1,1,3,0,14,14,15,0,0,Not At Risk,0.0,0,2.0,3.0,1,1.0,1,1,0
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4.0,14,14,14,mother,1,1,0,no,yes,no,no,yes,no,4,4,4,1,2,2,6,17,17,17,0,0,Not At Risk,10.0,0,4.0,1.0,1,1.0,1,1,0
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6.0,13,14,14,mother,1,3,0,no,yes,no,yes,yes,no,3,2,3,1,2,2,10,13,13,14,0,0,Not At Risk,16.0,0,4.0,3.0,1,1.0,1,1,0
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4.0,8,10,10,mother,3,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,2,13,14,14,0,0,Not At Risk,6.0,0,3.0,2.0,1,1.0,0,1,1
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16.0,6,5,5,mother,1,1,3,no,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,1,1,At Risk (Both),18.0,6,2.5,1.0,1,2.0,1,1,0
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4.0,8,10,10,father,1,1,0,no,no,no,yes,yes,no,3,1,3,1,3,5,6,12,12,12,0,0,Not At Risk,10.0,0,3.5,1.0,0,1.0,1,1,0
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0.0,13,14,15,mother,1,2,0,no,no,no,no,yes,no,4,4,1,1,1,1,0,12,13,14,0,0,Not At Risk,0.0,0,3.5,2.0,0,1.0,1,1,0
GP,M,15,U,GT3,T,4,4,health,Other,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0.0,12,15,15,father,1,1,0,no,yes,yes,no,yes,no,5,4,2,1,1,5,0,11,12,12,0,0,Not At Risk,0.0,0,4.0,1.0,1,1.0,1,1,0
